canton,nbi,internet_inst,tef_11_19,cajeros,puntos_financieros,pib_pc,fecundidad,participacion_ensenanza,prematuro,agua_potable,oficinas
PALORA,0.540392553281109,43.75,0.19,3,40,4595,2.72,4.1,9.17,1400,9
SANTIAGO,0.605205848802239,31.11,0.2,3,45,3508,2.99,6.59,5.94,812,11
SUCUA,0.515720858895705,51.22,0.2,6,36,2339,3.13,9.22,5.73,5874,9
HUAMBOYA,0.877059803740046,37.21,0.32,0,22,1448,4.52,16.27,0.65,747,2
SAN JUAN BOSCO,0.592660550458717,75,0.2,7,37,3112,2.69,6.81,2.78,420,15
TAISHA,0.968752341701011,2.04,0.26,0,9,1261,4.18,20.81,1.39,636,0
LOGRONO,0.829588014981272,19.23,0.35,2,17,1823,5.32,12.67,1.56,812,5
PABLO SEXTO,0.579319487406099,11.11,0.31,0,65,3827,3.65,6.17,4.55,442,7
TIWINTZA,0.933865573416766,8.16,0.3,0,10,1547,4.47,16.45,4.58,217,0
TENA,0.608018534808519,35.43,0.18,3,35,3361,3.16,9.17,4.05,13170,7
ARCHIDONA,0.774582251514548,32.81,0.23,2,21,1463,3.6,16.4,2.04,3428,1
EL CHACO,0.377575363261769,83.33,0.04,4,60,14808,1.59,1.18,7.81,2178,15
QUIJOS,0.397584765443568,75,0.04,8,61,4788,1.53,4.34,4.76,2216,2
CARLOS JULIO AROSEMENA TOLA,0.537882049074469,38.46,0.11,0,45,2719,2.32,6.09,0,881,3
PASTAZA,0.494772928250416,24.04,0.13,6,46,12246,2.64,3.28,4.73,12434,9
MERA,0.511889610824568,42.86,0.05,3,33,2130,1.32,7.39,1.47,2730,4
SANTA CLARA,0.490599424905994,18.18,0.09,0,32,2921,1.87,6.82,6.06,682,10
ARAJUNO,0.874199979015843,9.38,0.28,0,8,2539,3.49,9.83,1.96,499,4
QUITO,0.137251800852923,81.79,0.03,8,48,9188,1.28,2.75,9.56,597019,7
CAYAMBE,0.35380342246193,75.61,0.06,5,33,5161,1.65,3.65,8.18,9991,5
MEJIA,0.260571125557277,67.21,0.04,5,40,5331,1.41,3.23,8.29,9495,8
PEDRO MONCAYO,0.382762896825398,83.33,0.07,2,27,7756,1.9,2.22,11.36,4972,4
RUMINAHUI,0.113842785441932,75,0.02,11,63,11082,1.37,7.06,8.73,28365,14
SAN MIGUEL DE LOS BANCOS,0.427708179808398,50,0.1,4,72,2516,1.93,7.45,4.46,2273,10
PEDRO VICENTE MALDONADO,0.529373706004137,52,0.11,4,63,2488,2.12,7.78,8.4,2890,10
PUERTO QUITO,0.671085732540035,49.12,0.09,2,24,1978,1.7,8.99,10.47,1100,5
AMBATO,0.261442023282953,86.78,0.05,6,49,5364,1.65,9.61,8.19,85758,10
BANOS DE AGUA SANTA,0.223677535396391,86.36,0.04,8,50,7525,1.37,2.16,8.85,8684,12
CEVALLOS,0.232891195693966,100,0.03,5,38,2723,1.46,7.06,4.62,2065,15
MOCHA,0.311561251205731,100,0.04,0,29,1871,1.23,6.89,10.71,1617,7
PATATE,0.535473585042389,82.35,0.06,2,30,2280,1.47,5.75,8.86,2000,10
QUERO,0.541570438799084,57.14,0.04,1,24,1952,1.63,6.77,5.79,1200,6
SAN PEDRO DE PELILEO,0.443889610694548,87.1,0.04,3,43,3003,1.38,5.64,10.12,7794,9
SANTIAGO DE PILLARO,0.457594385171582,100,0.03,2,26,1679,1.44,8.71,4.51,7495,11
TISALEO,0.40724762726488,75,0.05,1,23,2078,1.5,3.96,8.33,2983,7
ZAMORA,0.362265158340847,50.94,0.1,8,54,4037,2.08,5.24,7.81,5159,9
CHINCHIPE,0.59949079514297,40,0.1,3,31,1887,2.26,9.88,3.57,2110,4
NANGARITZA,0.565041283689055,28.57,0.29,2,32,2274,3.49,10.52,1.19,1005,7
YACUAMBI,0.688624628383664,35.9,0.18,0,26,1963,2.56,10.29,8.2,1050,7
YANTZAZA (YANZATZA),0.471936589545841,38.89,0.15,10,57,25882,2.45,0.9,6.25,2708,13
EL PANGUI,0.501659292035399,34.62,0.18,8,47,56750,2.7,0.37,7.19,2449,10
CENTINELA DEL CONDOR,0.527071682765637,45,0.12,5,33,2430,2.04,6.8,1.79,1336,4
PALANDA,0.659751972942505,25,0.15,2,22,2228,2.27,9.28,1.79,1259,7
PAQUISHA,0.628789484842052,50,0.21,3,39,3291,2.55,6.72,10,834,6
SAN CRISTOBAL,0.212264723740134,85.71,0.03,8,57,5453,1.42,3.53,10.17,2356,15
ISABELA,0.300559026635973,50,0.02,0,90,5973,1.44,2.82,10,803,9
SANTA CRUZ,0.365082139112204,83.33,0.02,10,49,9392,1.44,1.89,4.55,3369,16
LAGO AGRIO,0.549386273266869,27.72,0.1,5,59,9873,2.24,2.65,3.71,16561,5
GONZALO PIZARRO,0.546308854873089,60,0.1,0,48,2770,1.98,8.83,6.41,2751,1
PUTUMAYO,0.80614288893835,13.95,0.1,0,24,31001,1.85,0.73,2.6,1161,3
SHUSHUFINDI,0.615187679703808,47.56,0.13,3,36,39048,2.24,0.59,7.97,5530,3
SUCUMBIOS,0.497477931904164,46.15,0.03,0,8,4082,0.78,4.47,7.69,989,0
CASCALES,0.64909292223831,20.51,0.13,0,30,2275,1.9,11.25,6.1,1820,1
CUYABENO,0.760167193854496,10,0.1,0,50,39642,1.71,0.64,4,2700,0
ORELLANA,0.581703748921207,25.79,0.11,6,45,42906,2.33,0.62,5.37,14089,4
AGUARICO,0.812645687645688,16.67,0.1,0,17,160478,1.35,0.14,1.79,839,0
LA JOYA DE LOS SACHAS,0.780546915252945,23.33,0.09,3,40,34629,2.02,0.68,5.41,2927,3
LORETO,0.839070505881503,32.05,0.18,1,21,1599,2.56,14.48,3.7,1260,2
SANTO DOMINGO,0.450353852377425,58.08,0.07,5,69,3840,1.93,6.76,4.63,78430,8
LA CONCORDIA,0.609789801479174,75,0.14,4,35,2986,2.56,9.77,6.63,6590,5
SANTA ELENA,0.506535772209276,85.94,0.08,3,43,2061,2.17,9.3,5.69,26064,2
LA LIBERTAD,0.44571596767576,89.09,0.08,6,60,5069,2.23,10.59,4.03,24610,6
SALINAS,0.434856780589012,95.65,0.08,4,44,2370,2.16,10.9,5.53,22546,2
