PC1,PC2,canton,name_es,provincia,viajes,viajeros,weekday_all,weekend_all,prop_weekend,prop_night,cluster
-0.15847652396054032,1.2522312022146005,101,CUENCA,1,17249.478298281858,16919.901049942153,16618.537539105586,15494.88494473112,0.4825049386290106,0.08687346689871074,Cluster_1
-1.0465235619580922,-0.4344161506972579,102,GIRÓN,1,14927.527996486662,14861.52509728171,12622.931146944373,14292.453908415218,0.531014283430034,0.06899142092307603,Cluster_1
-2.610532604731509,-0.7543903765081144,103,GUALACEO,1,4129.53795820957,4035.988959455864,3680.910147894094,4538.08538082314,0.5521459848672547,0.0677985380685941,Cluster_1
-0.9575169119975891,-0.006160756120208068,104,NABÓN,1,16034.737759502494,15944.003105319554,13886.956506626431,14117.349635644698,0.504113530395072,0.06680654786485658,Cluster_1
-1.6692337356456983,-0.40744827973067466,105,PAUTE,1,9035.49293552812,8872.282932098766,7856.988100137173,10174.792489711934,0.5642699809379768,0.08328070480620443,Cluster_1
-2.052815522387057,-0.22971720512919788,106,PUCARÁ,1,8323.486666862467,8270.393201754387,7092.890288954809,7557.027271548011,0.5158409417894796,0.06487456251231516,Cluster_1
-3.54503381752486,-3.4462474718643143,107,SAN FERNANDO,1,93.56521739130432,93.56521739130432,75.67391304347827,101.47826086956522,0.5728310222113142,0.011412443244569885,Cluster_1
-1.8110187632061079,-0.3697410928844342,108,SANTA ISABEL,1,10129.266595797795,10063.29349979464,8614.15537546407,9196.794477261565,0.5163562052168804,0.062306730669333586,Cluster_1
-2.363411734736353,-0.7642937676739978,109,SÍGSIG,1,6230.182066263175,6144.841108640849,5410.9912810822425,6070.545739169912,0.5287223939148691,0.05744003461231704,Cluster_1
-1.1763226476959119,0.04281291859563081,110,OÑA,1,14866.439479023778,14823.407475280064,12861.51361739826,12780.807023748284,0.49842630090350576,0.06493360117588592,Cluster_1
-2.387232242329402,-2.0102859242211513,111,CHORDELEG,1,6127.395550013102,5850.983292960201,5560.380028491391,6780.544978193197,0.5494357168948393,0.03730189149060833,Cluster_1
-1.2306863631127563,-0.07335256791990843,112,EL PAN,1,11311.871247881869,11199.15140855725,10071.274184519489,11940.562545388528,0.542460980966872,0.08193218609977558,Cluster_1
-1.5898778868601358,0.7297612814064165,113,SEVILLA DE ORO,1,9066.212577160491,9035.566229423868,8208.200102880659,8942.093878600825,0.5213959532271752,0.09048866170349484,Cluster_1
-2.2649662780639104,-0.711268169018929,114,GUACHAPALA,1,6104.2775325511075,6003.699568171974,5219.735956998385,6778.675995693175,0.5649644321615861,0.07546254308652535,Cluster_1
5.8946059335328185,1.5729595332082844,115,CAMILO PONCE ENRÍQUEZ,1,60341.994525950366,59820.19434814063,54866.7780244095,45839.67366043745,0.4551811020399087,0.09073959243424393,Cluster_2
0.25077184935805874,-0.2686980241939659,201,GUARANDA,2,26562.03038663851,26324.899686971115,22764.27900250657,21236.645442406774,0.48264089244292696,0.0533473681377701,Cluster_1
0.9766618619581152,0.34174364210728475,202,CHILLANES,2,36122.59228200948,35953.025118409816,30459.580494409503,25469.48774167249,0.45538909452528914,0.05652996635686743,Cluster_1
0.5341097056449997,-0.0943745931989637,203,CHIMBO,2,29388.41779245279,29312.21636725376,24582.70652062782,23032.096541364062,0.48371714383397796,0.05868923602434601,Cluster_1
0.3892059082112106,-0.42849271577577897,204,ECHEANDÍA,2,21962.700110703092,21455.134829201837,19728.20143535415,21603.47310490573,0.5226856483606168,0.06784647489507653,Cluster_1
4.229363520669141,0.10304549128624116,205,SAN MIGUEL,2,50539.69915018476,50275.552399586384,44377.334114124045,42986.86835343705,0.49204213097920013,0.07291132367773402,Cluster_2
-3.1526647652644018,-1.4248016142274087,206,CALUMA,2,1368.111111111111,1201.5555555555557,1262.126984126984,1523.920634920635,0.5469829820933108,0.04842915282691719,Cluster_1
-3.2520968961630525,-1.5999594821272147,207,LAS NAVES,2,922.282608695652,897.1739130434783,872.25,977.1630434782608,0.5283638757302551,0.03544602870475944,Cluster_1
-0.7448039109827632,-0.2247903718542206,301,AZOGUES,3,14876.982124104105,14656.91543532705,13567.145768801556,14918.582746864648,0.523721299199349,0.07050282147383471,Cluster_1
0.7450390309035382,0.8647707561774056,302,BIBLIÁN,3,27428.88484415121,27276.633246517533,24191.36014262971,21599.46390173258,0.47169851935416035,0.07559044716016271,Cluster_1
