cluster,n,viajes_promedio,viajeros_promedio,prop_weekend_promedio,prop_night_promedio,provincias
Cluster_3,1,270356.29159522173,269056.66872427985,0.4623728380396145,0.08183063997525251,1
Cluster_2,39,56640.398403414314,55848.44245931286,0.4772919642187979,0.06490756737825579,12
Cluster_1,169,13054.380325699254,12863.54660868198,0.4930897275124729,0.06130618230127429,24
