num_clusters,.metric,.estimator,mean,n,std_err,.config
2,sse_ratio,standard,0.4845370113761436,5,0.07438285488036084,pre0_mod1_post0
2,sse_total,standard,871.1550782082753,5,486.2221880939551,pre0_mod1_post0
2,sse_within_total,standard,511.2185123371162,5,353.0063661822965,pre0_mod1_post0
3,sse_ratio,standard,0.3873081532247228,5,0.06099764018687826,pre0_mod2_post0
3,sse_total,standard,871.1550782082752,5,486.22218809395514,pre0_mod2_post0
3,sse_within_total,standard,451.76688862036593,5,326.48162656032406,pre0_mod2_post0
4,sse_ratio,standard,0.3544976172528854,5,0.06705229432222773,pre0_mod3_post0
4,sse_total,standard,871.1550782082752,5,486.22218809395514,pre0_mod3_post0
4,sse_within_total,standard,427.04455854190894,5,318.49178577441455,pre0_mod3_post0
5,sse_ratio,standard,0.29634964025017563,5,0.0798717841048167,pre0_mod4_post0
5,sse_total,standard,871.1550782082752,5,486.22218809395514,pre0_mod4_post0
5,sse_within_total,standard,404.60947726535284,5,322.96684142664134,pre0_mod4_post0
6,sse_ratio,standard,0.2615132307893251,5,0.08187293932200768,pre0_mod5_post0
6,sse_total,standard,871.1550782082752,5,486.22218809395514,pre0_mod5_post0
6,sse_within_total,standard,384.2615724630739,5,315.46293538655516,pre0_mod5_post0
7,sse_ratio,standard,0.25664488419156106,5,0.08371691546167541,pre0_mod6_post0
7,sse_total,standard,871.1550782082753,5,486.2221880939551,pre0_mod6_post0
7,sse_within_total,standard,381.9927819433199,5,316.4926109057306,pre0_mod6_post0
8,sse_ratio,standard,0.21039903334181712,5,0.06228765372003658,pre0_mod7_post0
8,sse_total,standard,871.1550782082753,5,486.2221880939551,pre0_mod7_post0
8,sse_within_total,standard,302.66957661187325,5,245.9046232799495,pre0_mod7_post0
