cost,rbf_sigma,.metric,.estimator,mean,n,std_err,.config,modelo,neighbors,weight_func,dist_power,smoothness,Laplace
NA,NA,roc_auc,binary,0.868720140900592,5,0.016082174631284047,pre0_mod05_post0,k-NN,7,rectangular,1,NA,NA
NA,NA,f_meas,binary,0.927533389863196,5,0.002035510150218159,pre0_mod06_post0,k-NN,7,rectangular,2,NA,NA
NA,NA,pr_auc,binary,0.9703652562760043,5,0.004415173381793519,pre0_mod06_post0,k-NN,7,rectangular,2,NA,NA
NA,NA,roc_auc,binary,0.8705470084542766,5,0.01575401977093315,pre0_mod06_post0,k-NN,7,rectangular,2,NA,NA
NA,NA,f_meas,binary,0.9307282315411888,5,0.003088829167074441,pre0_mod07_post0,k-NN,7,triangular,1,NA,NA
NA,NA,pr_auc,binary,0.9702525461945845,5,0.003442279872579111,pre0_mod07_post0,k-NN,7,triangular,1,NA,NA
NA,NA,roc_auc,binary,0.8744665596169355,5,0.012936580688619167,pre0_mod07_post0,k-NN,7,triangular,1,NA,NA
NA,NA,f_meas,binary,0.9242213391519246,5,0.0026288325568373577,pre0_mod08_post0,k-NN,7,triangular,2,NA,NA
NA,NA,pr_auc,binary,0.971891902728272,5,0.004067105081961048,pre0_mod08_post0,k-NN,7,triangular,2,NA,NA
NA,NA,roc_auc,binary,0.8800525845638627,5,0.014654132584931607,pre0_mod08_post0,k-NN,7,triangular,2,NA,NA
NA,NA,f_meas,binary,0.9262962782627567,5,0.0040242536594707464,pre0_mod09_post0,k-NN,15,rectangular,1,NA,NA
NA,NA,pr_auc,binary,0.9758227397867262,5,0.0052588726717358964,pre0_mod09_post0,k-NN,15,rectangular,1,NA,NA
NA,NA,roc_auc,binary,0.8971114052567687,5,0.017112522024682303,pre0_mod09_post0,k-NN,15,rectangular,1,NA,NA
NA,NA,f_meas,binary,0.9251545365287411,5,0.006689977589918928,pre0_mod10_post0,k-NN,15,rectangular,2,NA,NA
NA,NA,pr_auc,binary,0.9754959272404503,5,0.00575422114409215,pre0_mod10_post0,k-NN,15,rectangular,2,NA,NA
NA,NA,roc_auc,binary,0.8938023570229083,5,0.02027789084064168,pre0_mod10_post0,k-NN,15,rectangular,2,NA,NA
NA,NA,f_meas,binary,0.928275649553574,5,0.0014451922312348096,pre0_mod11_post0,k-NN,15,triangular,1,NA,NA
NA,NA,pr_auc,binary,0.9751831420587591,5,0.004557287278868232,pre0_mod11_post0,k-NN,15,triangular,1,NA,NA
NA,NA,roc_auc,binary,0.8963500924027239,5,0.013984691604670214,pre0_mod11_post0,k-NN,15,triangular,1,NA,NA
NA,NA,f_meas,binary,0.9294137280075253,5,0.003606124118388259,pre0_mod12_post0,k-NN,15,triangular,2,NA,NA
NA,NA,pr_auc,binary,0.9763398232591731,5,0.004940086335544266,pre0_mod12_post0,k-NN,15,triangular,2,NA,NA
NA,NA,roc_auc,binary,0.900806610079793,5,0.015659673638202934,pre0_mod12_post0,k-NN,15,triangular,2,NA,NA
NA,NA,f_meas,binary,0.9229654675326602,5,0.004394313116146782,pre0_mod13_post0,k-NN,25,rectangular,1,NA,NA
NA,NA,pr_auc,binary,0.9750323455192054,5,0.004586520564723102,pre0_mod13_post0,k-NN,25,rectangular,1,NA,NA
NA,NA,roc_auc,binary,0.8958864211997044,5,0.01268330792882783,pre0_mod13_post0,k-NN,25,rectangular,1,NA,NA
NA,NA,f_meas,binary,0.9198550955861399,5,0.002344796022915934,pre0_mod14_post0,k-NN,25,rectangular,2,NA,NA
NA,NA,pr_auc,binary,0.9752383632835091,5,0.00510345664753296,pre0_mod14_post0,k-NN,25,rectangular,2,NA,NA
NA,NA,roc_auc,binary,0.8966322431861279,5,0.016281197918521017,pre0_mod14_post0,k-NN,25,rectangular,2,NA,NA
NA,NA,f_meas,binary,0.9273924558120734,5,0.0034604753149751447,pre0_mod15_post0,k-NN,25,triangular,1,NA,NA
NA,NA,pr_auc,binary,0.9767443263050819,5,0.005069230016888756,pre0_mod15_post0,k-NN,25,triangular,1,NA,NA
NA,NA,roc_auc,binary,0.9047308024751635,5,0.013739351696299657,pre0_mod15_post0,k-NN,25,triangular,1,NA,NA
NA,NA,f_meas,binary,0.929556601153554,5,0.0027089642387633523,pre0_mod16_post0,k-NN,25,triangular,2,NA,NA
NA,NA,pr_auc,binary,0.9769270916595083,5,0.00520259235542738,pre0_mod16_post0,k-NN,25,triangular,2,NA,NA
NA,NA,roc_auc,binary,0.9044500380339979,5,0.015216167388565075,pre0_mod16_post0,k-NN,25,triangular,2,NA,NA
NA,NA,f_meas,binary,0.9125518019036896,5,0.005814734312289014,pre0_mod1_post0,Naive Bayes,NA,NA,NA,0.5,0
NA,NA,pr_auc,binary,0.9759141392982991,5,0.0030535038074816006,pre0_mod1_post0,Naive Bayes,NA,NA,NA,0.5,0
NA,NA,roc_auc,binary,0.8933887146919728,5,0.00914701163466275,pre0_mod1_post0,Naive Bayes,NA,NA,NA,0.5,0
NA,NA,f_meas,binary,0.9125518019036896,5,0.005814734312289014,pre0_mod2_post0,Naive Bayes,NA,NA,NA,0.5,1
NA,NA,pr_auc,binary,0.9759141392982991,5,0.0030535038074816006,pre0_mod2_post0,Naive Bayes,NA,NA,NA,0.5,1
NA,NA,roc_auc,binary,0.8933887146919728,5,0.00914701163466275,pre0_mod2_post0,Naive Bayes,NA,NA,NA,0.5,1
NA,NA,f_meas,binary,0.9093458353645882,5,0.0034891230914416292,pre0_mod3_post0,Naive Bayes,NA,NA,NA,1,0
NA,NA,pr_auc,binary,0.9792803194628874,5,0.0026139524758700752,pre0_mod3_post0,Naive Bayes,NA,NA,NA,1,0
NA,NA,roc_auc,binary,0.9047472577547765,5,0.009158755109243164,pre0_mod3_post0,Naive Bayes,NA,NA,NA,1,0
NA,NA,f_meas,binary,0.9093458353645882,5,0.0034891230914416292,pre0_mod4_post0,Naive Bayes,NA,NA,NA,1,1
NA,NA,pr_auc,binary,0.9792803194628874,5,0.0026139524758700752,pre0_mod4_post0,Naive Bayes,NA,NA,NA,1,1
NA,NA,roc_auc,binary,0.9047472577547765,5,0.009158755109243164,pre0_mod4_post0,Naive Bayes,NA,NA,NA,1,1
NA,NA,f_meas,binary,0.908982619111132,5,0.002696767685137316,pre0_mod5_post0,Naive Bayes,NA,NA,NA,2,0
NA,NA,pr_auc,binary,0.9810025073974775,5,0.0020942844147907183,pre0_mod5_post0,Naive Bayes,NA,NA,NA,2,0
NA,NA,roc_auc,binary,0.9131096138614936,5,0.007118793343623114,pre0_mod5_post0,Naive Bayes,NA,NA,NA,2,0
NA,NA,f_meas,binary,0.908982619111132,5,0.002696767685137316,pre0_mod6_post0,Naive Bayes,NA,NA,NA,2,1
NA,NA,pr_auc,binary,0.9810025073974775,5,0.0020942844147907183,pre0_mod6_post0,Naive Bayes,NA,NA,NA,2,1
NA,NA,roc_auc,binary,0.9131096138614936,5,0.007118793343623114,pre0_mod6_post0,Naive Bayes,NA,NA,NA,2,1
