modelo,busqueda,.metric,.estimator,mean,n,std_err,mtry,min_n,.config,.iter,tree_depth,learn_rate,loss_reduction,sample_size
RF,bayes,f_meas,binary,0.9357952239204052,5,0.006025209681188223,9,4,pre0_mod15_post0,0,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9807486837415564,5,0.005463314565287215,9,4,pre0_mod15_post0,0,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9242685236419572,5,0.016164062835363535,9,4,pre0_mod15_post0,0,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9401253968791647,5,0.003593512541751868,9,32,pre0_mod16_post0,0,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.982211257285958,5,0.0049097313049887795,9,32,pre0_mod16_post0,0,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9292925676384323,5,0.014619074232070161,9,32,pre0_mod16_post0,0,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9399832924864362,5,0.006045074314153671,10,24,pre0_mod17_post0,0,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9795192614039722,5,0.006149271285007936,10,24,pre0_mod17_post0,0,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.924726619338148,5,0.016597334209272705,10,24,pre0_mod17_post0,0,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9416235038696953,5,0.0038940399374698363,10,44,pre0_mod18_post0,0,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9801091777176122,5,0.0055937007461909355,10,44,pre0_mod18_post0,0,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9253672902795709,5,0.014948449069589993,10,44,pre0_mod18_post0,0,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9386137334268573,5,0.005795198846527864,11,12,pre0_mod19_post0,0,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9811035856366265,5,0.005134250077403052,11,12,pre0_mod19_post0,0,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9248730894094302,5,0.016716097487326432,11,12,pre0_mod19_post0,0,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9399530665452598,5,0.0035872786792117447,12,37,pre0_mod20_post0,0,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.979175906493041,5,0.005889807811489598,12,37,pre0_mod20_post0,0,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9237311653351753,5,0.01561627205480737,12,37,pre0_mod20_post0,0,NA,NA,NA,NA
